	(39117)
Speak	(43)
Want	(1)
mercy	(65)
join	(39)
empty	(17)
veins	(11)
shed	(19)
drop	(23)
dust	(23)
lift	(12)
trod	(6)
air	(45)
unthankful	(1)
ingrate	(2)
canker	(9)
Bolingbroke	(67)
Brother	(23)
nephew	(18)
struck	(25)
forsooth	(13)
urged	(16)
cheek	(12)
look	(170)
pale	(47)
face	(142)
turn	(85)
death	(349)
Trembling	(1)
even	(95)
blame	(24)
proclaim	(18)
Richard	(178)
heard	(88)
proclamation	(6)
unhappy	(6)
wrongs	(29)
pardon	(82)
Irish	(8)
expedition	(14)
From	(108)
whence	(20)
intercepted	(3)
return	(66)
deposed	(19)
shortly	(17)
murdered	(7)
wide	(12)
mouth	(49)
Live	(6)
scandalized	(1)
foully	(1)
pray	(128)
Proclaim	(4)
Edmund	(17)
Heir	(2)
crown	(208)
Nay	(102)
wished	(3)
forgetful	(2)
wear	(67)
detested	(4)
blot	(10)
murderous	(10)
subornation	(3)
curses	(17)
undergo	(5)
agents	(1)
second	(21)
cords	(1)
descend	(6)
line	(18)
predicament	(1)
Wherein	(16)
range	(5)
subtle	(9)
fill	(34)
chronicles	(4)
gage	(16)
both	(166)
unjust	(6)
put	(92)
lovely	(13)
rose	(32)
thorn	(5)
further	(49)
fool	(34)
discarded	(3)
shook	(15)
whom	(96)
shames	(6)
underwent	(1)
serves	(11)
banish	(44)
honours	(32)
restore	(4)
Into	(29)
Revenge	(2)
jeering	(1)
disdain	(10)
contempt	(13)
studies	(6)
owes	(5)
Even	(77)
payment	(5)
deaths	(10)
Peace	(36)
unclasp	(1)
secret	(24)
book	(29)
quick	(21)
conceiving	(2)
discontents	(3)
read	(51)
matter	(56)
deep	(59)
dangerous	(42)
peril	(11)
adventurous	(1)
roaring	(7)
loud	(18)
unsteadfast	(1)
footing	(7)
spear	(9)
sink	(8)
swim	(4)
danger	(34)
east	(12)
unto	(194)
west	(10)
south	(7)
grapple	(4)
stirs	(5)
rouse	(9)
start	(12)
Imagination	(1)
Drives	(2)
beyond	(10)
bounds	(7)
methinks	(29)
easy	(23)
leap	(12)
pluck	(43)
faced	(27)
dive	(3)
into	(159)
bottom	(12)
fathom	(2)
touch	(35)
drowned	(2)
locks	(4)
thence	(21)
corrival	(1)
dignities	(7)
half	(68)
apprehends	(1)
figures	(5)
form	(30)
attend	(28)
audience	(9)
while	(60)
cry	(47)
keep	(127)
lend	(18)
ear	(47)
purposes	(13)
flat	(4)
Forbad	(1)
asleep	(13)
holla	(1)
starling	(1)
taught	(13)
Nothing	(11)
motion	(18)
solemnly	(6)
defy	(12)
Save	(13)
gall	(9)
pinch	(5)
buckler	(4)
loves	(36)
glad	(29)
mischance	(10)
poison	(20)
pot	(8)
ale	(6)
kinsman	(17)
temper	(17)
wasp	(1)
stung	(3)
impatient	(5)
break	(78)
woman	(85)
mood	(3)
Tying	(1)
whipp	(2)
scourged	(1)
rods	(3)
Nettled	(1)
pismires	(1)
politician	(1)
Gloucestershire	(10)
Twas	(15)
duke	(115)
kept	(39)
first	(120)
bow	(19)
knee	(38)
Unto	(33)
smiles	(12)
Ravenspurgh	(9)
Berkley	(1)
candy	(2)
deal	(16)
courtesy	(18)
fawning	(1)
greyhound	(2)
proffer	(9)
Look	(62)
infant	(13)
age	(63)
cozeners	(1)
tale	(33)
leisure	(18)
i	(48)
Scottish	(2)
Deliver	(10)
without	(64)
only	(67)
powers	(36)
Scotland	(15)
divers	(9)
written	(5)
assured	(22)
easily	(8)
granted	(12)
employ	(16)
secretly	(2)
bosom	(49)
creep	(3)
prelate	(9)
beloved	(8)
archbishop	(16)
True	(16)
bears	(32)
Bristol	(6)
Scroop	(11)
estimation	(4)
ruminated	(1)
plotted	(6)
stays	(4)
behold	(37)
occasion	(24)
game	(7)
afoot	(14)
slip	(3)
choose	(17)
plot	(22)
exceedingly	(1)
aim	(17)
bids	(19)
heads	(52)
raising	(1)
always	(17)
unsatisfied	(2)
Till	(65)
begin	(17)
strangers	(3)
does	(21)
revenged	(13)
letters	(36)
direct	(7)
course	(50)
ripe	(12)
suddenly	(21)
fashion	(20)
happily	(8)
fortunes	(17)
strong	(60)
uncertainty	(1)
thrive	(20)
trust	(38)
Uncle	(14)
Adieu	(4)
groans	(12)
applaud	(1)
inn	(3)
yard	(6)
lantern	(5)
Heigh	(2)
ho	(11)
Charles	(44)
wain	(1)
chimney	(4)
packed	(1)
ostler	(5)
Within	(46)
Anon	(15)
Tom	(3)
beat	(30)
Cut	(5)
saddle	(5)
few	(36)
flocks	(3)
point	(49)
jade	(4)
wrung	(2)
withers	(1)
cess	(1)
another	(84)
Peas	(1)
beans	(1)
dank	(1)
dog	(28)
jades	(8)
bots	(1)
upside	(1)
since	(78)
Robin	(4)
died	(34)
Poor	(21)
joyed	(1)
price	(4)
oats	(1)
road	(5)
fleas	(2)
tench	(2)
Like	(50)
mass	(11)
christen	(3)
bit	(2)
cock	(6)
allow	(14)
jordan	(2)
leak	(2)
chamber	(33)
lie	(74)
breeds	(7)
loach	(1)
gammon	(1)
bacon	(2)
razors	(1)
ginger	(2)
delivered	(8)
Charing	(1)
turkeys	(1)
pannier	(1)
quite	(21)
starved	(8)
canst	(61)
twere	(28)
deed	(46)
pate	(10)
carriers	(2)
gelding	(2)
stable	(4)
trick	(11)
worth	(41)
Ay	(135)
Lend	(5)
quoth	(16)
marry	(39)
Sirrah	(24)
carrier	(1)
Time	(4)
bed	(67)
candle	(7)
warrant	(47)
neighbour	(15)
Mugs	(1)
gentleman	(64)
along	(37)
company	(55)
chamberlain	(11)
pick	(9)
variest	(1)
picking	(3)
giving	(12)
direction	(9)
labouring	(5)
layest	(1)
Master	(82)
franklin	(1)
Kent	(17)
marks	(12)
auditor	(1)
abundance	(4)
knows	(60)
They	(161)
eggs	(2)
presently	(39)
Saint	(62)
Nicholas	(8)
clerks	(3)
neck	(19)
worshippest	(1)
St	(8)
falsehood	(11)
talkest	(1)
pair	(11)
hangs	(11)
knowest	(6)
starveling	(2)
Trojans	(1)
dreamest	(1)
content	(41)
profession	(5)
matters	(8)
looked	(4)
