	(51557)
moment	(12)
mettle	(9)
commits	(1)
loving	(30)
act	(65)
celerity	(2)
dying	(18)
She	(181)
cunning	(29)
Alack	(31)
passions	(6)
made	(282)
finest	(2)
part	(192)
pure	(18)
winds	(25)
waters	(5)
sighs	(17)
tears	(109)
greater	(33)
storms	(6)
tempests	(2)
almanacs	(1)
report	(71)
makes	(105)
shower	(4)
rain	(24)
Jove	(41)
Would	(104)
never	(262)
left	(82)
unseen	(5)
wonderful	(5)
piece	(44)
work	(94)
been	(247)
blest	(19)
withal	(35)
discredited	(1)
travel	(5)
Dead	(12)
gods	(246)
thankful	(5)
sacrifice	(12)
pleaseth	(1)
deities	(3)
take	(353)
shows	(38)
tailors	(4)
comforting	(2)
therein	(15)
robes	(5)
worn	(14)
members	(7)
cut	(58)
case	(32)
lamented	(3)
grief	(77)
crowned	(4)
consolation	(1)
smock	(3)
brings	(17)
petticoat	(1)
live	(152)
onion	(2)
water	(59)
business	(91)
broached	(2)
Cannot	(26)
endure	(29)
absence	(18)
without	(108)
especially	(8)
wholly	(3)
depends	(4)
abode	(4)
light	(95)
answers	(6)
officers	(12)
notice	(12)
purpose	(87)
expedience	(1)
get	(77)
leave	(192)
For	(555)
urgent	(1)
touches	(8)
strongly	(8)
letters	(50)
contriving	(3)
Petition	(1)
Sextus	(3)
Pompeius	(3)
Hath	(107)
given	(69)
dare	(74)
commands	(16)
sea	(96)
slippery	(8)
link	(3)
deserver	(2)
Till	(79)
deserts	(8)
begin	(44)
throw	(41)
Great	(32)
dignities	(6)
son	(197)
high	(74)
name	(202)
Higher	(1)
stands	(43)
main	(20)
soldier	(72)
quality	(29)
going	(52)
sides	(28)
danger	(39)
breeding	(12)
courser	(2)
hair	(35)
serpent	(16)
poison	(59)
Say	(60)
place	(188)
under	(57)
requires	(5)
remove	(13)
III	(115)
since	(88)
See	(56)
send	(88)
sad	(36)
dancing	(5)
sick	(70)
return	(81)
methinks	(19)
dearly	(17)
hold	(140)
method	(3)
enforce	(10)
each	(75)
way	(213)
cross	(20)
teachest	(3)
Tempt	(1)
forbear	(15)
hate	(69)
fear	(231)
sullen	(4)
breathing	(5)
Help	(30)
Charmian	(25)
It	(364)
sustain	(10)
dearest	(23)
further	(96)
eye	(130)
says	(70)
tis	(362)
best	(163)
So	(351)
mightily	(4)
betray	(20)
saw	(87)
treasons	(6)
planted	(7)
Though	(90)
swearing	(8)
shake	(46)
throned	(2)
false	(104)
Riotous	(1)
madness	(39)
entangled	(2)
mouth	(40)
vows	(23)
Most	(102)
pray	(179)
seek	(70)
colour	(25)
bid	(98)
farewell	(72)
sued	(3)
staying	(1)
words	(132)
Eternity	(1)
lips	(69)
Bliss	(2)
brows	(13)
bent	(16)
poor	(200)
race	(5)
greatest	(15)
Art	(26)
inches	(7)
shouldst	(35)
necessity	(13)
services	(16)
Remains	(3)
use	(127)
Shines	(1)
civil	(14)
swords	(37)
Makes	(24)
port	(10)
Equality	(1)
two	(201)
domestic	(5)
powers	(35)
Breed	(1)
scrupulous	(1)
faction	(10)
hated	(14)
grown	(29)
strength	(47)
Are	(114)
newly	(10)
condemn	(15)
Rich	(6)
father	(321)
honour	(231)
creeps	(3)
apace	(11)
hearts	(69)
thrived	(1)
numbers	(15)
threaten	(6)
quietness	(4)
rest	(97)
purge	(5)
desperate	(28)
change	(57)
particular	(27)
safe	(38)
age	(60)
folly	(27)
freedom	(10)
childishness	(2)
sovereign	(16)
leisure	(16)
garboils	(2)
awaked	(4)
last	(98)
sacred	(12)
vials	(1)
fill	(26)
sorrowful	(5)
received	(35)
Quarrel	(2)
prepared	(17)
purposes	(19)
bear	(169)
cease	(22)
advice	(16)
fire	(92)
quickens	(1)
slime	(5)
Thy	(146)
servant	(43)
making	(26)
peace	(128)
affect	(9)
st	(297)
Cut	(7)
lace	(2)
ill	(79)
loves	(74)
precious	(32)
evidence	(4)
An	(89)
honourable	(56)
trial	(13)
aside	(16)
adieu	(17)
Belong	(1)
play	(100)
scene	(12)
dissembling	(3)
Life	(5)
perfect	(16)
meetly	(1)
sword	(172)
target	(3)
Still	(24)
mends	(2)
Herculean	(1)
carriage	(6)
chafe	(2)
Courteous	(2)
loved	(76)
something	(57)
oblivion	(6)
very	(268)
forgotten	(4)
royalty	(6)
Holds	(6)
subject	(19)
sweating	(2)
labour	(38)
near	(95)
Since	(40)
becomings	(1)
Eye	(2)
calls	(38)
Therefore	(63)
deaf	(13)
unpitied	(1)
Sit	(13)
laurel	(2)
victory	(12)
smooth	(14)
success	(20)
Be	(191)
strew	(13)
before	(213)
feet	(19)
separation	(1)
abides	(2)
flies	(27)
residing	(2)
fleeting	(2)
remain	(35)
Away	(51)
IV	(102)
house	(173)
reading	(12)
Lepidus	(24)
henceforth	(8)
natural	(24)
vice	(22)
competitor	(3)
fishes	(6)
drinks	(10)
wastes	(1)
lamps	(2)
revel	(6)
nor	(240)
Ptolemy	(3)
More	(85)
womanly	(2)
hardly	(10)
gave	(84)
audience	(12)
Vouchsafed	(1)
partners	(3)
abstract	(2)
men	(332)
Evils	(1)
enow	(3)
darken	(3)
goodness	(21)
spots	(3)
fiery	(16)
blackness	(3)
hereditary	(6)
Rather	(15)
purchased	(2)
chooses	(1)
indulgent	(1)
grant	(33)
Amiss	(1)
tumble	(4)
sit	(53)
tippling	(1)
slave	(62)
reel	(2)
noon	(10)
buffet	(2)
knaves	(20)
smell	(17)
sweat	(14)
composure	(3)
rare	(15)
these	(367)
blemish	(2)
excuse	(22)
soils	(1)
lightness	(3)
vacancy	(3)
voluptuousness	(2)
Full	(13)
surfeits	(3)
dryness	(1)
bones	(34)
drums	(13)
loud	(28)
own	(289)
chid	(6)
rate	(7)
mature	(6)
knowledge	(22)
Pawn	(2)
experience	(3)
rebel	(8)
judgment	(53)
biddings	(1)
hour	(103)
shalt	(90)
abroad	(21)
appears	(16)
only	(88)
ports	(8)
discontents	(3)
repair	(14)
reports	(7)
Give	(139)
wrong	(79)
known	(89)
less	(109)
taught	(8)
primal	(2)
until	(7)
ebb	(6)
ne	(77)
worth	(72)
Comes	(10)
lack	(41)
body	(118)
Like	(75)
vagabond	(1)
flag	(4)
stream	(12)
Goes	(7)
lackeying	(1)
varying	(2)
tide	(12)
rot	(11)
motion	(29)
Menecrates	(1)
Menas	(9)
famous	(4)
pirates	(2)
Make	(76)
wound	(26)
keels	(1)
kind	(91)
hot	(49)
inroads	(1)
They	(215)
borders	(1)
maritime	(1)
Lack	(3)
flush	(3)
youth	(73)
revolt	(17)
vessel	(11)
peep	(9)
Taken	(2)
strikes	(10)
resisted	(4)
Leave	(20)
lascivious	(4)
wassails	(1)
once	(130)
Wast	(3)
beaten	(15)
Modena	(1)
slew	(14)
Hirtius	(1)
Pansa	(1)
consuls	(6)
heel	(10)
Did	(88)
fought	(34)
against	(155)
daintily	(2)
brought	(65)
patience	(64)
savages	(1)
didst	(45)
stale	(12)
horses	(26)
gilded	(11)
puddle	(1)
beasts	(18)
cough	(2)
palate	(7)
deign	(2)
roughest	(2)
berry	(1)
rudest	(2)
hedge	(7)
Yea	(25)
stag	(2)
snow	(15)
pasture	(3)
barks	(2)
trees	(13)
browsed	(1)
Alps	(1)
reported	(4)
eat	(46)
strange	(105)
wounds	(42)
borne	(33)
lank	(2)
shames	(4)
Drive	(1)
show	(156)
ourselves	(46)
i	(163)
Assemble	(3)
immediate	(8)
council	(9)
Thrives	(1)
furnish	(8)
inform	(20)
rightly	(8)
Both	(45)
land	(56)
able	(10)
Farewell	(73)
meantime	(4)
